val_loss,val_IoU,loss,IoU
0.42030662886574544,0.41354217396273635,0.3756478912809975,0.4653568722180322
0.350643834075191,0.4879801004741325,0.2631736214344318,0.5894583731125562
0.3437716641139575,0.49447398584799707,0.23634580465463492,0.6235051190751231
0.3245757045663989,0.5145172080256908,0.22182893549275196,0.6426305172280369
0.2985049747090483,0.5462450065326281,0.20977402803225395,0.6586003181261894
0.355208968144118,0.4805487476193342,0.20317465831071901,0.6676442653704913
0.3022736397935597,0.5435016400824288,0.19658917698085818,0.6765760646926032
0.3048184381022474,0.5390903906249181,0.19168106867716864,0.6833622766356183
0.2963776654951562,0.5488170595128137,0.18777722578782302,0.6887297380683769
0.2886801029479555,0.560469233171111,0.18273573502516136,0.6958786992945223
0.3094877674855899,0.5318618209576914,0.1773275931676229,0.7032875296397086
0.3120235253301301,0.5290590314906043,0.17392694033109224,0.7081750177929544
0.3174263302860342,0.5222391220121425,0.16967923671771318,0.7142974586568327
0.2750260328530242,0.5748597547220058,0.1675226031205593,0.7172165874742035
0.30085080145766296,0.5415630637320326,0.1661226688287197,0.7193617219598885
0.2797291365815846,0.5675535511561218,0.16171469443883651,0.7257064453557006
0.2645405408138881,0.5871120509671551,0.1610777902806926,0.7265043273950235
0.28587932699228047,0.5601350826255241,0.15724533847254565,0.7321443430378906
0.29150531962194154,0.555786752138015,0.15465382633046207,0.7358986414395846
0.2645406945580577,0.5878772520712006,0.15293776377653465,0.7383729397741139
0.2866947896490793,0.5585492913303457,0.15044180450276431,0.7421518406297407
0.2672023128542266,0.583724237051133,0.1494244800673591,0.7435515283519386
0.27901295607693716,0.5685126625417128,0.1472888008142129,0.7467631412367536
0.2866520487699386,0.559440462886008,0.146701102073376,0.7476761646759815
0.26960979127065304,0.5804007370584513,0.14311101192083114,0.7529766503562275
0.27576798354095655,0.5723714383374979,0.14164610805674496,0.7550816622554747
0.2677546650043373,0.5834803233330853,0.1417471043065063,0.755033335624597
0.3074656366790313,0.5336854035762246,0.13718375130596325,0.7620931547931117
0.27526034280465905,0.5731285147912513,0.13504826665943503,0.7652770520275475
0.2860889191791223,0.5598374446574199,0.13348626479124412,0.7677111778503809
0.2657734580306024,0.5848592312550852,0.13212570573529628,0.7699284935608889
0.27050277091914493,0.5786716382902579,0.12976563537222707,0.7735182428971316
0.26560335660697054,0.5858700833095501,0.12916891544293135,0.7744488262722635
0.27891493508744136,0.568781468489651,0.12736462120316985,0.7772403496962327
0.30775291111336245,0.5339609425466971,0.1271993869390243,0.777498458695208
0.26755265565389214,0.5827524301320186,0.1251910858684116,0.7806562358497554
0.2808264368593437,0.5659183550290283,0.12361342173356277,0.7830651794743334
0.3365917085578002,0.5015533563916775,0.1225246364234859,0.7847684122558333
0.2729260519850408,0.5764798509204848,0.12215638160705566,0.7853338387277391
0.2767852161063657,0.57123815936592,0.12026668053406936,0.7883664354299887
0.2856818557808839,0.560544660418842,0.12004797326193915,0.7887092426291897
0.3228233625448825,0.5175575987463857,0.11945293092320108,0.7897034343491253
0.2834192872559052,0.5635125539845152,0.11796644253608508,0.791925405844664
0.29521379680592613,0.5489613459857237,0.11722558736801147,0.7931515263696002
0.2989765201003766,0.5450825839595221,0.11633844406176837,0.794466284605173
0.2859136201281404,0.5605251817232549,0.11614275335246681,0.7948431438869901
0.2648055699250217,0.5873078639926829,0.11581669353012346,0.7953295126939431
0.30288215103067556,0.5395392862512318,0.11401591698328654,0.7981822378615029
0.2701982433703836,0.5795548343351471,0.11289652494283822,0.8000112771987915
0.26951709530384244,0.5820572082065206,0.11307517534647232,0.799667644704509
0.31477229329137846,0.5258911863417073,0.11158788968355228,0.8020429871021173
0.27759694439147165,0.5705511541837275,0.11167415696331578,0.8018845355408823
0.26307083276208376,0.5888953004272199,0.11095053161311354,0.803076898949778
0.2790438701666476,0.56876664765403,0.11021329347903912,0.8042202714161996
0.28245233773161926,0.564829322913174,0.10906944672266643,0.8060301628887144
0.27710156046781415,0.5708222102709595,0.11013484459656936,0.8044353102007483
0.27164515430835184,0.577916826813006,0.10805359100684142,0.8076974342011998
0.2610597774194546,0.591616385740272,0.10724098865802471,0.8089725843861572
0.3046555846545829,0.5374920097031819,0.10740684087459858,0.8086887012180101
0.2635182541327415,0.5888500315948617,0.10608455105724497,0.8107924023245134
0.2691739480382895,0.5808213143389624,0.10603000465621296,0.8108728069525498
0.2830000535101338,0.5638949935016714,0.10539493754378751,0.8119106251969297
0.28168265886061183,0.5653747156454259,0.10521285146729559,0.8121215206945044
0.26616155564017563,0.5855724279460989,0.10394017105428581,0.8141620444436358
0.2759086653398342,0.5735374049567358,0.10362071919645,0.8147177609622988
0.27161696207881486,0.5782361519183212,0.10329420240516336,0.8152057737366766
